Paid At일	측정값 이름	측정값
2022년 11월 29일	M0	158,000.00
2022년 11월 30일	M0	632,000.00
2022년 12월 1일	M0	0.00
2022년 12월 2일	M0	0.00
2022년 12월 3일	M0	0.00
2022년 12월 4일	M0	0.00
2022년 12월 5일	M0	0.00
2022년 12월 6일	M0	0.00
2022년 12월 7일	M0	0.00
2022년 12월 8일	M0	0.00
2022년 12월 9일	M0	4,269,900.00
2022년 12월 10일	M0	2,519,100.00
2022년 12월 11일	M0	1,166,400.00
2022년 12월 12일	M0	3,564,000.00
2022년 12월 13일	M0	1,995,300.00
2022년 12월 14일	M0	2,844,600.00
2022년 12월 15일	M0	2,891,500.00
2022년 12월 16일	M0	1,055,700.00
2022년 12월 17일	M0	2,079,000.00
2022년 12월 18일	M0	5,797,400.00
2022년 12월 19일	M0	4,020,200.00
2022년 12월 20일	M0	1,340,000.00
2022년 12월 21일	M0	447,000.00
2022년 12월 22일	M0	1,176,000.00
2022년 12월 23일	M0	1,127,000.00
2022년 12월 24일	M0	638,000.00
2022년 12월 25일	M0	0.00
2022년 12월 26일	M0	1,147,000.00
2022년 12월 27일	M0	762,000.00
2022년 12월 28일	M0	1,746,000.00
2022년 12월 29일	M0	0.00
2022년 12월 30일	M0	0.00
2022년 12월 31일	M0	0.00
2023년 1월 1일	M0	0.00
2023년 1월 2일	M0	0.00
2023년 1월 3일	M0	0.00
2023년 1월 4일	M0	0.00
2023년 1월 5일	M0	0.00
2023년 1월 6일	M0	0.00
2023년 1월 7일	M0	0.00
2023년 1월 8일	M0	0.00
2023년 1월 9일	M0	0.00
2023년 1월 10일	M0	0.00
2023년 1월 11일	M0	0.00
2023년 1월 12일	M0	0.00
2023년 1월 13일	M0	0.00
2023년 1월 14일	M0	0.00
2023년 1월 15일	M0	0.00
2023년 1월 16일	M0	0.00
2023년 1월 17일	M0	339,000.00
2023년 1월 18일	M0	339,000.00
2023년 1월 19일	M0	18,000.00
2023년 1월 20일	M0	1,191,000.00
2023년 1월 21일	M0	0.00
2023년 1월 22일	M0	0.00
2023년 1월 23일	M0	0.00
2023년 1월 24일	M0	158,000.00
2023년 1월 25일	M0	292,000.00
2023년 1월 26일	M0	0.00
2023년 1월 27일	M0	0.00
2023년 1월 28일	M0	432,000.00
2023년 1월 29일	M0	0.00
2023년 1월 30일	M0	0.00
2023년 1월 31일	M0	732,000.00
2023년 2월 1일	M0	0.00
2023년 2월 2일	M0	0.00
2023년 2월 3일	M0	0.00
2023년 2월 4일	M0	0.00
2023년 2월 5일	M0	0.00
2023년 2월 6일	M0	0.00
2023년 2월 7일	M0	0.00
2023년 2월 8일	M0	0.00
2023년 2월 9일	M0	0.00
2023년 2월 10일	M0	0.00
2023년 2월 11일	M0	0.00
2023년 2월 12일	M0	0.00
2023년 2월 13일	M0	0.00
2023년 2월 14일	M0	0.00
2023년 2월 15일	M0	0.00
2023년 2월 16일	M0	0.00
2023년 2월 17일	M0	790,000.00
2023년 2월 18일	M0	1,035,000.00
2023년 2월 19일	M0	5,758,000.00
2023년 2월 20일	M0	3,037,000.00
2023년 2월 21일	M0	1,449,000.00
2023년 2월 22일	M0	966,000.00
2023년 2월 23일	M0	1,518,000.00
2023년 2월 24일	M0	2,420,000.00
2023년 2월 25일	M0	1,303,000.00
2023년 2월 26일	M0	231,000.00
2023년 2월 27일	M0	909,000.00
2023년 2월 28일	M0	642,000.00
2023년 3월 1일	M0	0.00
2023년 3월 2일	M0	0.00
2023년 3월 3일	M0	0.00
2023년 3월 4일	M0	0.00
2023년 3월 5일	M0	0.00
2023년 3월 6일	M0	0.00
2023년 3월 7일	M0	0.00
2023년 3월 8일	M0	0.00
2023년 3월 9일	M0	0.00
2023년 3월 10일	M0	0.00
2023년 3월 11일	M0	0.00
2023년 3월 12일	M0	0.00
2023년 3월 13일	M0	0.00
